Ticker,Underwriter,Name,Price,Date,Status,Link
"GULA","AI - UOB KAY HIAN SEKURITAS","PT Aman Agrindo Tbk (GULA)",250,"03 Aug 2022","","https://www.e-ipo.co.id/id/ipo/96/gula-pt-aman-agrindo-tbk"
"RCCC","SA - ELIT SUKSES SEKURITAS","PT Utama Radar Cahaya Tbk (RCCC)",135,"02 Aug 2022","","https://www.e-ipo.co.id/id/ipo/134/rccc-pt-utama-radar-cahaya-tbk"
"HATM","XA - NH KORINDO SEKURITAS INDONESIA","PT HABCO TRANS MARITIMA TBK (HATM)",160,"26 Jul 2022","","https://www.e-ipo.co.id/id/ipo/130/hatm-pt-habco-trans-maritima-tbk"
"KRYA","IU - INDO CAPITAL SEKURITAS","PT Bangun Karya Perkasa Jaya Tbk. (KRYA)",125,"25 Jul 2022","","https://www.e-ipo.co.id/id/ipo/131/krya-pt-bangun-karya-perkasa-jaya-tbk"
"AXIO","NI - BNI SEKURITAS","PT Tera Data Indonusa Tbk. (AXIO)",140,"20 Jul 2022","","https://www.e-ipo.co.id/id/ipo/97/axio-pt-tera-data-indonusa-tbk"
"DEWI","HD - KGI SEKURITAS INDONESIA","PT Dewi Shri Farmindo Tbk (DEWI)",100,"18 Jul 2022","","https://www.e-ipo.co.id/id/ipo/91/dewi-pt-dewi-shri-farmindo-tbk"
"CHEM","XA - NH KORINDO SEKURITAS INDONESIA","PT Chemstar Indonesia Tbk (CHEM)",150,"08 Jul 2022","","https://www.e-ipo.co.id/id/ipo/95/chem-pt-chemstar-indonesia-tbk"
"TRGU","MG - SEMESTA INDOVEST SEKURITAS","PT Cerestar Indonesia Tbk (TRGU)",210,"08 Jul 2022","","https://www.e-ipo.co.id/id/ipo/93/trgu-pt-cerestar-indonesia-tbk"
"ARKO","YP - MIRAE ASSET SEKURITAS INDONESIA","PT Arkora Hydro Tbk (ARKO)",300,"08 Jul 2022","","https://www.e-ipo.co.id/id/ipo/94/arko-pt-arkora-hydro-tbk"
"SWID","AH - SHINHAN SEKURITAS INDONESIA","PT Saraswanti Indoland Development Tbk (SWID)",200,"07 Jul 2022","","https://www.e-ipo.co.id/id/ipo/84/swid-pt-saraswanti-indoland-development-tbk"
"ASHA","HD - KGI SEKURITAS INDONESIA","PT Cilacap Samudera Fishing Industry Tbk (ASHA)",100,"27 May 2022","","https://www.e-ipo.co.id/id/ipo/88/asha-pt-cilacap-samudera-fishing-industry-tbk"
"NPII","SF - SURYA FAJAR SEKURITAS","PT Mandiri Mineral Perkasa Tbk (NPII)",132142,"30 May 2022","","https://www.e-ipo.co.id/id/ipo/89/npii-pt-mandiri-mineral-perkasa-tbk"
"OLIV","II - DANATAMA MAKMUR SEKURITAS","PT Oscar Mitra Sukses Sejahtera Tbk. (OLIV)",100,"17 May 2022","","https://www.e-ipo.co.id/id/ipo/75/oliv-pt-oscar-mitra-sukses-sejahtera-tbk"
"WINR","SH - ARTHA SEKURITAS INDONESIA","PT Winner Nusantara Jaya Tbk (WINR)",100,"25 Apr 2022","","https://www.e-ipo.co.id/id/ipo/86/winr-pt-winner-nusantara-jaya-tbk"
"IBOS","SF - SURYA FAJAR SEKURITAS","PT Indo Boga Sukses Tbk (IBOS)",100,"25 Apr 2022","","https://www.e-ipo.co.id/id/ipo/87/ibos-pt-indo-boga-sukses-tbk"
"MTMH","KI - CIPTADANA SEKURITAS ASIA","PT Murni Sadar Tbk (MTMH)",1280,"20 Apr 2022","","https://www.e-ipo.co.id/id/ipo/85/mtmh-pt-murni-sadar-tbk"
"TLDN","NI - BNI SEKURITAS","PT Teladan Prima Agro Tbk. (TLDN)",580,"12 Apr 2022","","https://www.e-ipo.co.id/id/ipo/83/tldn-pt-teladan-prima-agro-tbk"
"GOTO","CC - MANDIRI SEKURITAS","PT GoTo Gojek Tokopedia Tbk (GOTO)",338,"11 Apr 2022","","https://www.e-ipo.co.id/id/ipo/80/goto-pt-goto-gojek-tokopedia-tbk"
"SICO","XA - NH KORINDO SEKURITAS INDONESIA","PT Sigma Energy Compressindo Tbk (SICO)",230,"08 Apr 2022","","https://www.e-ipo.co.id/id/ipo/81/sico-pt-sigma-energy-compressindo-tbk"
"WIRG","KI - CIPTADANA SEKURITAS ASIA"," PT WIR ASIA Tbk (WIRG)",168,"04 Apr 2022","","https://www.e-ipo.co.id/id/ipo/82/wirg-pt-wir-asia-tbk"
"BIKE","LG - TRIMEGAH SEKURITAS INDONESIA TBK.","PT Sepeda Bersama Indonesia Tbk (BIKE)",170,"21 Mar 2022","","https://www.e-ipo.co.id/id/ipo/79/bike-pt-sepeda-bersama-indonesia-tbk"
"NANO","AI - UOB KAY HIAN SEKURITAS","PT Nanotech Indonesia Global Tbk (NANO)",100,"10 Mar 2022","","https://www.e-ipo.co.id/id/ipo/77/nano-pt-nanotech-indonesia-global-tbk"
"STAA","DP - DBS VICKERS SEKURITAS INDONESIA","PT SUMBER TANI AGUNG RESOURCES Tbk (STAA)",600,"10 Mar 2022","","https://www.e-ipo.co.id/id/ipo/78/staa-pt-sumber-tani-agung-resources-tbk"
"SMKM","AO - ERDIKHA ELIT SEKURITAS","PT Sumber Mas Konstruksi Tbk (SMKM)",264,"09 Mar 2022","","https://www.e-ipo.co.id/id/ipo/76/smkm-pt-sumber-mas-konstruksi-tbk"
